Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,172.217.12.206,172.217.7.196,69.85974311828613,1175.8649349212646,-1106.0051918029785,7.629,13.596,-5.9670000000000005,No,7,11,2604.2185512435794,2604.2185512435794,0.0,66
130.245.192.6,172.217.12.206,172.217.12.142,1069.261074066162,1078.2098770141602,-8.948802947998047,7.860,8.664,-0.8039999999999994,Yes,7,7,2604.2185512435794,2604.2185512435794,0.0,276
130.245.192.6,31.13.71.36,31.13.71.36,5082.491159439087,69.77272033691406,5012.718439102173,6.966,7.398,-0.4319999999999995,Yes,7,7,3143.5878610915256,3143.5878610915256,0.0,36
130.245.192.6,123.125.115.110,104.193.88.123,77504.50587272644,106332.17310905457,-28827.667236328125,386.482,74.023,312.45900000000006,Yes,32,32,6835.445737995046,1336.0192772569214,5499.426460738125,43
130.245.192.6,208.80.154.224,208.80.154.224,112064.20874595642,120353.16729545593,-8288.958549499512,15.008,15.248,-0.2400000000000002,Yes,32,32,2612.435653058019,2612.435653058019,0.0,600
130.245.192.6,151.101.1.140,151.101.209.140,135099.04193878174,136167.6049232483,-1068.5629844665527,9.539,8.322,1.2170000000000005,Yes,32,32,2612.8772044270772,55.80032967640167,2557.0768747506754,21
130.245.192.6,72.30.35.9,72.30.35.9,10319.3998336792,5233.5569858551025,5085.842847824097,41.600,20.473,21.127000000000002,Yes,15,15,2601.5095818657833,2601.5095818657833,0.0,17
130.245.192.6,111.161.64.48,23.67.251.17,103184.28421020508,10597.203969955444,92587.08024024963,286.513,8.307,278.20599999999996,Yes,32,5,6883.704387186502,30.063375164397378,6853.641012022104,20
130.245.192.6,140.205.220.96,66.198.178.122,62098.13404083252,110212.6681804657,-48114.53413963318,337.914,8.830,329.084,Yes,32,32,7458.788953198399,47.52972349660153,7411.259229701797,180
130.245.192.6,176.32.98.166,104.92.231.148,107009.39893722534,5030.081033706665,101979.31790351868,13.032,8.312,4.720000000000001,Yes,32,5,263.6365852585472,146.06857970437022,117.56800555417698,20
130.245.192.6,104.244.42.65,104.244.42.65,6067.430257797241,5051.6767501831055,1015.7535076141357,24.911,24.202,0.7089999999999996,Yes,6,6,2613.728342702361,2613.728342702361,0.0,79
130.245.192.6,172.217.12.195,172.217.7.195,1121.7238903045654,1241.3330078125,-119.60911750793457,8.756,14.011,-5.254999999999999,No,7,11,2604.2185512435794,2604.2185512435794,0.0,126
130.245.192.6,140.205.94.193,66.198.178.124,102021.64697647095,110096.64487838745,-8074.997901916504,329.578,9.388,320.19,Yes,32,32,7458.788953198399,47.52972349660153,7411.259229701797,180
130.245.192.6,123.125.116.16,104.254.66.16,77421.65207862854,120345.85499763489,-42924.20291900635,318.754,76.581,242.173,Yes,32,32,6835.445737995046,1336.0192772569214,5499.426460738125,136
130.245.192.6,204.79.197.212,204.79.197.212,120249.31383132935,120148.52094650269,100.79288482666016,13.634,15.080,-1.4459999999999997,No,32,32,2431.9992024255434,2431.9992024255434,0.0,108
130.245.192.6,52.203.135.65,31.13.71.174,110206.12287521362,93.0030345916748,110113.11984062195,14.040,7.612,6.427999999999999,Yes,32,7,263.6365852585472,3143.5878610915256,-2879.9512758329784,14
130.245.192.6,87.240.129.72,87.240.182.224,82094.21014785767,96226.15718841553,-14131.947040557861,157.664,181.871,-24.207000000000022,No,32,32,4643.0148648715585,4643.0148648715585,0.0,900
130.245.192.6,106.39.167.118,192.229.173.173,123719.78998184204,5137.9852294921875,118581.80475234985,309.284,10.094,299.19,Yes,32,11,6835.445737995046,1336.0192772569214,5499.426460738125,3600
130.245.192.6,123.125.104.197,123.125.104.197,9622.779846191406,3361.589193344116,6261.19065284729,341.517,341.759,-0.24200000000001864,Yes,20,20,6835.445737995046,6835.445737995046,0.0,60
130.245.192.6,77.88.55.77,5.255.255.88,7085.65092086792,6552.769660949707,532.8812599182129,161.563,145.336,16.226999999999975,Yes,14,14,4643.0148648715585,4643.0148648715585,0.0,300
130.245.192.6,101.198.193.22,101.198.193.22,7905.261754989624,10753.509283065796,-2848.247528076172,103.865,88.476,15.388999999999996,Yes,16,16,6835.445737995046,6835.445737995046,0.0,300
130.245.192.6,172.217.12.195,216.58.218.227,1096.4717864990234,1271.6631889343262,-175.19140243530273,7.739,12.905,-5.1659999999999995,No,7,11,2604.2185512435794,2604.2185512435794,0.0,168
130.245.192.6,172.217.12.195,172.217.7.195,1084.789752960205,239.86411094665527,844.9256420135498,9.277,12.889,-3.612,No,7,11,2604.2185512435794,2604.2185512435794,0.0,160
130.245.192.6,108.174.10.10,108.174.11.81,115120.43690681458,115632.69805908203,-512.261152267456,13.540,13.395,0.14499999999999957,Yes,32,32,2604.2185512435794,2604.2185512435794,0.0,2765
130.245.192.6,172.217.7.195,172.217.7.195,1251.715898513794,1154.9229621887207,96.79293632507324,13.875,13.727,0.1479999999999997,Yes,11,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,172.217.12.195,172.217.7.195,1070.2619552612305,1216.7632579803467,-146.5013027191162,8.073,13.618,-5.545,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,172.217.12.195,172.217.7.195,5071.684122085571,5139.608144760132,-67.92402267456055,9.336,13.582,-4.246,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,216.18.168.16,216.18.168.16,115488.36898803711,115485.81600189209,2.5529861450195312,30.894,30.174,0.7199999999999989,Yes,32,32,141.6432893335324,141.6432893335324,0.0,1714
130.245.192.6,172.217.12.195,172.217.7.195,1095.3481197357178,258.90207290649414,836.4460468292236,7.503,14.073,-6.57,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,151.101.66.167,151.101.66.167,135068.87912750244,135080.31797409058,-11.438846588134766,7.952,8.041,-0.08900000000000041,Yes,32,32,2612.8772044270772,2612.8772044270772,0.0,2827
130.245.192.6,172.217.12.195,172.217.7.195,1096.1921215057373,1252.6941299438477,-156.50200843811035,7.664,13.022,-5.3580000000000005,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,47.95.164.112,47.95.164.112,122654.35791015625,132040.80200195312,-9386.444091796875,288.059,288.860,-0.8009999999999877,Yes,32,32,7458.788953198399,7458.788953198399,0.0,200
130.245.192.6,182.22.59.229,182.22.25.124,109078.63593101501,111491.09816551208,-2412.4622344970703,223.563,212.181,11.381999999999977,Yes,32,32,6763.5698387380435,6763.5698387380435,0.0,25
130.245.192.6,199.16.156.11,199.16.156.11,10070.56999206543,10053.407907485962,17.162084579467773,26.704,25.376,1.3279999999999994,Yes,6,6,2613.728342702361,2613.728342702361,0.0,99
130.245.192.6,13.107.21.200,204.79.197.200,120115.28992652893,111278.76806259155,8836.521863937378,12.517,13.544,-1.027000000000001,No,32,32,2431.9992024255434,2431.9992024255434,0.0,38
130.245.192.6,172.217.12.195,172.217.7.195,1102.1738052368164,6211.5960121154785,-5109.422206878662,7.771,13.802,-6.031,No,7,11,2604.2185512435794,2604.2185512435794,0.0,271
130.245.192.6,172.217.12.195,172.217.7.195,1076.7810344696045,124.15671348571777,952.6243209838867,8.877,14.521,-5.644,No,7,11,2604.2185512435794,2604.2185512435794,0.0,259
130.245.192.6,110.75.139.5,110.75.244.41,61334.848165512085,104293.78509521484,-42958.93692970276,342.996,270.627,72.36899999999997,Yes,32,32,7458.788953198399,7458.788953198399,0.0,60
130.245.192.6,217.69.139.200,217.69.139.70,106774.06311035156,106057.58213996887,716.4809703826904,131.496,166.546,-35.04999999999998,No,32,32,4643.0148648715585,4643.0148648715585,0.0,60
130.245.192.6,216.58.219.227,216.58.217.67,1206.3438892364502,1284.6970558166504,-78.3531665802002,8.562,34.986,-26.424,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,217.20.155.13,217.20.147.1,105793.58792304993,105772.80497550964,20.782947540283203,175.445,194.819,-19.373999999999995,No,32,32,4643.0148648715585,4643.0148648715585,0.0,300
130.245.192.6,169.44.84.178,31.13.71.49,100461.26103401184,162.50991821289062,100298.75111579895,15.094,7.725,7.369,Yes,32,7,1336.0192772569214,3143.5878610915256,-1807.5685838346042,20
130.245.192.6,151.101.32.193,151.101.208.193,130119.39907073975,140069.1521167755,-9949.753046035767,14.202,7.465,6.737,Yes,32,32,263.6365852585472,55.80032967640167,207.83625558214553,5
130.245.192.6,198.11.132.250,23.66.197.241,107934.77296829224,5526.413917541504,102408.35905075073,74.706,8.031,66.675,Yes,32,5,2616.9089756015073,146.06857970437022,2470.840395897137,20
130.245.192.6,151.101.1.69,151.101.129.69,135098.92892837524,135101.42707824707,-2.498149871826172,8.616,8.513,0.10299999999999976,Yes,32,32,2612.8772044270772,2612.8772044270772,0.0,151
130.245.192.6,192.0.78.9,192.0.78.13,2173.1669902801514,86.37094497680664,2086.7960453033447,9.057,7.927,1.1300000000000008,Yes,10,10,1673.647750622823,1673.647750622823,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,1102.2441387176514,1274.791955947876,-172.5478172302246,7.564,12.995,-5.430999999999999,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,192.30.253.112,192.30.253.112,16217.113971710205,10540.67587852478,5676.438093185425,13.901,14.290,-0.38899999999999935,Yes,13,13,2612.8772044270772,2612.8772044270772,0.0,60
130.245.192.6,151.101.128.194,151.101.0.194,140091.1979675293,130100.6531715393,9990.54479598999,9.079,8.022,1.0570000000000004,Yes,32,32,2612.8772044270772,2612.8772044270772,0.0,3202
130.245.192.6,216.58.219.227,216.58.218.227,6081.310987472534,7218.009233474731,-1136.6982460021973,7.730,13.471,-5.741,No,7,11,2604.2185512435794,2604.2185512435794,0.0,21
130.245.192.6,52.94.237.74,52.94.237.74,115522.8660106659,115249.35984611511,273.50616455078125,13.146,12.883,0.2630000000000017,Yes,32,32,263.6365852585472,263.6365852585472,0.0,7
130.245.192.6,109.71.161.200,109.71.161.200,125359.65299606323,130102.04911231995,-4742.396116256714,7.615,8.098,-0.48300000000000054,Yes,32,32,3728.0006827026027,3728.0006827026027,0.0,11096
130.245.192.6,52.119.168.48,13.33.87.114,76314.91923332214,25178.98392677307,51135.93530654907,78.934,9.134,69.8,Yes,32,13,2335.125002247842,2442.667761897338,-107.54275964949602,60
130.245.192.6,88.208.29.24,88.208.29.24,120479.91132736206,125403.04899215698,-4923.137664794922,104.573,82.194,22.37899999999999,Yes,32,32,3604.5743812630485,3604.5743812630485,0.0,1800
130.245.192.6,216.58.218.233,216.58.219.233,295.52602767944336,1110.6481552124023,-815.122127532959,13.192,167.736,-154.54399999999998,No,11,7,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,6074.229955673218,6212.723016738892,-138.49306106567383,7.678,12.335,-4.657000000000001,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,6049.558877944946,1199.234962463379,4850.323915481567,7.041,13.548,-6.507,No,7,11,2604.2185512435794,2604.2185512435794,0.0,122
130.245.192.6,123.125.114.5,103.235.46.234,83346.44794464111,83473.84190559387,-127.39396095275879,339.404,320.873,18.531000000000006,Yes,32,32,6835.445737995046,8058.200005150238,-1222.7542671551919,300
130.245.192.6,174.138.124.52,174.138.124.52,130327.46815681458,129216.71199798584,1110.7561588287354,7.626,7.534,0.09200000000000053,Yes,32,32,47.461257658209746,47.461257658209746,0.0,75
130.245.192.6,216.18.168.1,216.18.168.1,120157.62901306152,115269.72007751465,4887.908935546875,27.737,28.018,-0.28100000000000236,Yes,32,32,141.6432893335324,141.6432893335324,0.0,180
130.245.192.6,194.187.98.220,52.51.19.158,5938.21907043457,86087.86201477051,-80149.64294433594,83.311,92.288,-8.97699999999999,No,9,32,3609.198383843912,3143.5961064617377,465.6022773821742,300
130.245.192.6,192.147.130.204,172.229.242.33,117250.47087669373,5541.1741733551025,111709.29670333862,94.456,9.007,85.449,Yes,32,5,2598.29874811114,146.06857970437022,2452.2301684067697,17
130.245.192.6,216.21.13.12,216.21.13.13,125476.10902786255,125093.83392333984,382.2751045227051,13.745,13.159,0.5859999999999985,Yes,32,32,1336.0192772569214,1336.0192772569214,0.0,538965
130.245.192.6,151.101.0.84,151.101.208.84,135071.28190994263,140072.16691970825,-5000.885009765625,9.425,9.554,-0.12899999999999956,Yes,32,32,2612.8772044270772,55.80032967640167,2557.0768747506754,4
130.245.192.6,180.240.134.85,13.33.74.66,10322.457075119019,20556.08820915222,-10233.631134033203,305.908,9.444,296.464,Yes,18,13,9514.701969931693,2442.667761897338,7072.034208034355,60
130.245.192.6,35.182.58.72,104.27.148.33,105279.52408790588,6327.960014343262,98951.56407356262,17.569,8.297,9.271999999999998,Yes,32,5,317.81960003574454,1336.0192772569214,-1018.1996772211769,600
130.245.192.6,23.194.111.124,23.194.111.124,1268.0158615112305,172.63102531433105,1095.3848361968994,9.129,9.360,-0.23099999999999987,Yes,9,9,146.06857970437022,146.06857970437022,0.0,20
130.245.192.6,216.58.219.227,216.58.218.227,1103.1780242919922,5245.450973510742,-4142.27294921875,8.340,13.950,-5.609999999999999,No,7,11,2604.2185512435794,2604.2185512435794,0.0,262
130.245.192.6,123.30.175.29,123.30.175.29,85599.07007217407,81313.41624259949,4285.653829574585,773.315,771.144,2.171000000000049,Yes,32,32,8168.661166332092,8168.661166332092,0.0,3600
130.245.192.6,31.24.224.56,31.24.224.56,120514.54091072083,120378.23677062988,136.30414009094238,79.661,79.119,0.5420000000000016,Yes,32,32,3426.8048762678836,3426.8048762678836,0.0,299
130.245.192.6,162.125.248.1,162.125.4.1,5192.317247390747,11045.861959457397,-5853.54471206665,7.722,7.174,0.548,Yes,8,8,2612.8772044270772,47.706271203039435,2565.170933224038,44
130.245.192.6,31.13.71.36,31.13.71.36,321.35510444641113,56.29301071166992,265.0620937347412,7.793,7.974,-0.18100000000000005,Yes,7,7,3143.5878610915256,3143.5878610915256,0.0,19
130.245.192.6,52.95.120.34,104.92.231.149,100870.96118927002,11307.920932769775,89563.04025650024,87.364,8.261,79.10300000000001,Yes,32,5,3143.5961064617377,146.06857970437022,2997.5275267573675,20
130.245.192.6,104.20.71.110,104.20.72.110,1029.789924621582,6179.4140338897705,-5149.6241092681885,11.319,8.303,3.016,Yes,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,124.225.65.154,124.225.65.154,80714.79296684265,19866.07575416565,60848.717212677,365.218,391.764,-26.545999999999992,No,21,21,8231.19564793707,8231.19564793707,0.0,14400
130.245.192.6,151.101.0.81,151.101.20.81,135082.92365074158,135073.03285598755,9.89079475402832,8.110,7.707,0.4029999999999996,Yes,32,32,2612.8772044270772,47.706271203039435,2565.170933224038,30
