Site Name,Total Bytes,Image Bytes,Image Percentage,CSS Bytes,CSS Percentage,JS Bytes,JS Percentage,Total Percentage
1688.com_res,3882006,2221839,0.572343010289,62068,0.0159886409243,1340271,0.345252171171,0.933583822385
360.cn_res,2927449,2805879,0.958472376462,0,0.0,119971,0.0409814141937,0.999453790655
_res,1599,0,0.0,0,0.0,0,0.0,0.0
adobe.com_res,397360,0,0.0,0,0.0,7561,0.0190280853634,0.0190280853634
alibaba.com_res,631331,591937,0.937601670122,0,0.0,35805,0.0567135147807,0.994315184903
aliexpress.com_res,1931512,1545586,0.800194873239,40012,0.0207153773831,299612,0.155117855856,0.976028106478
alipay.com_res,785826,691127,0.87949113417,0,0.0,93100,0.118474064233,0.997965198403
amazon.co.jp_res,7963945,6328538,0.794648632054,391757,0.049191324149,747250,0.0938291261429,0.937669082345
amazon.co.uk_res,9691895,8124685,0.838296844941,391857,0.04043141202,747485,0.0771247521769,0.955853009138
amazon.com_res,8310709,6373295,0.76687741082,413370,0.0497394385966,932286,0.112178876676,0.928795726093
amazon.de_res,8919109,7167608,0.803623770043,391906,0.0439400393021,747380,0.0837953656582,0.931359175003
amazon.in_res,7307793,5575689,0.762978508012,394433,0.0539742983962,758444,0.103785643627,0.920738450035
amazonaws.com_res,9789284,2239532,0.22877383065,390668,0.0399077195023,702114,0.0717227123046,0.340404262457
aparat.com_res,3659264,3216488,0.878998618301,0,0.0,438901,0.119942425581,0.998941043882
apple.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
ask.com_res,24989,0,0.0,0,0.0,23390,0.936011845212,0.936011845212
avito.ru_res,1093453,504581,0.461456505218,0,0.0,405855,0.371168216649,0.832624721867
babytree.com_res,1634,35,0.0214198286414,0,0.0,0,0.0,0.0214198286414
baidu.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
bbc.co.uk_res,1786165,509647,0.285330302632,28495,0.015953173419,850127,0.47595098997,0.777234466021
bbc.com_res,570237,209799,0.367915445683,335,0.000587475032311,272176,0.477303296699,0.845806217415
bing.com_res,50991,6196,0.121511639309,0,0.0,0,0.0,0.121511639309
bles.com_res,2098846,71242,0.0339434146193,57072,0.0271920855556,610285,0.290771690729,0.351907190904
bongacams.com_res,2901960,815276,0.280939778632,433052,0.14922741871,1651614,0.569137410578,0.99930460792
booking.com_res,4309439,3348188,0.776942892103,309689,0.0718629501427,546042,0.126708372018,0.975514214263
bukalapak.com_res,4249920,1157356,0.272324184926,1138577,0.267905513516,1803792,0.424429636323,0.964659334764
