Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,172.217.12.206,172.217.7.196,69.85974312,1175.864935,-1106.005192,7.629,13.596,-5.967,No,7,11,2604.218551,2604.218551,0,66
130.245.192.6,172.217.12.206,172.217.12.142,1069.261074,1078.209877,-8.948802948,7.86,8.664,-0.804,Yes,7,7,2604.218551,2604.218551,0,276
130.245.192.6,31.13.71.36,31.13.71.36,5082.491159,69.77272034,5012.718439,6.966,7.398,-0.432,Yes,7,7,3143.587861,3143.587861,0,36
130.245.192.6,123.125.115.110,104.193.88.123,77504.50587,106332.1731,-28827.66724,386.482,74.023,312.459,Yes,32,32,6835.445738,1336.019277,5499.426461,43
130.245.192.6,208.80.154.224,208.80.154.224,112064.2087,120353.1673,-8288.958549,15.008,15.248,-0.24,Yes,32,32,2612.435653,2612.435653,0,600
130.245.192.6,151.101.1.140,151.101.209.140,135099.0419,136167.6049,-1068.562984,9.539,8.322,1.217,Yes,32,32,2612.877204,55.80032968,2557.076875,21
130.245.192.6,72.30.35.9,72.30.35.9,10319.39983,5233.556986,5085.842848,41.6,20.473,21.127,Yes,15,15,2601.509582,2601.509582,0,17
130.245.192.6,111.161.64.48,23.67.251.17,103184.2842,10597.20397,92587.08024,286.513,8.307,278.206,Yes,32,5,6883.704387,30.06337516,6853.641012,20
130.245.192.6,140.205.220.96,66.198.178.122,62098.13404,110212.6682,-48114.53414,337.914,8.83,329.084,Yes,32,32,7458.788953,47.5297235,7411.25923,180
130.245.192.6,176.32.98.166,104.92.231.148,107009.3989,5030.081034,101979.3179,13.032,8.312,4.72,Yes,32,5,263.6365853,146.0685797,117.5680056,20
130.245.192.6,104.244.42.65,104.244.42.65,6067.430258,5051.67675,1015.753508,24.911,24.202,0.709,Yes,6,6,2613.728343,2613.728343,0,79
130.245.192.6,172.217.12.195,172.217.7.195,1121.72389,1241.333008,-119.6091175,8.756,14.011,-5.255,No,7,11,2604.218551,2604.218551,0,126
130.245.192.6,140.205.94.193,66.198.178.124,102021.647,110096.6449,-8074.997902,329.578,9.388,320.19,Yes,32,32,7458.788953,47.5297235,7411.25923,180
130.245.192.6,123.125.116.16,104.254.66.16,77421.65208,120345.855,-42924.20292,318.754,76.581,242.173,Yes,32,32,6835.445738,1336.019277,5499.426461,136
130.245.192.6,204.79.197.212,204.79.197.212,120249.3138,120148.5209,100.7928848,13.634,15.08,-1.446,No,32,32,2431.999202,2431.999202,0,108
130.245.192.6,52.203.135.65,31.13.71.174,110206.1229,93.00303459,110113.1198,14.04,7.612,6.428,Yes,32,7,263.6365853,3143.587861,-2879.951276,14
130.245.192.6,87.240.129.72,87.240.182.224,82094.21015,96226.15719,-14131.94704,157.664,181.871,-24.207,No,32,32,4643.014865,4643.014865,0,900
130.245.192.6,106.39.167.118,192.229.173.173,123719.79,5137.985229,118581.8048,309.284,10.094,299.19,Yes,32,11,6835.445738,1336.019277,5499.426461,3600
130.245.192.6,123.125.104.197,123.125.104.197,9622.779846,3361.589193,6261.190653,341.517,341.759,-0.242,Yes,20,20,6835.445738,6835.445738,0,60
130.245.192.6,77.88.55.77,5.255.255.88,7085.650921,6552.769661,532.8812599,161.563,145.336,16.227,Yes,14,14,4643.014865,4643.014865,0,300
130.245.192.6,101.198.193.22,101.198.193.22,7905.261755,10753.50928,-2848.247528,103.865,88.476,15.389,Yes,16,16,6835.445738,6835.445738,0,300
130.245.192.6,172.217.12.195,216.58.218.227,1096.471786,1271.663189,-175.1914024,7.739,12.905,-5.166,No,7,11,2604.218551,2604.218551,0,168
130.245.192.6,172.217.12.195,172.217.7.195,1084.789753,239.8641109,844.925642,9.277,12.889,-3.612,No,7,11,2604.218551,2604.218551,0,160
130.245.192.6,108.174.10.10,108.174.11.81,115120.4369,115632.6981,-512.2611523,13.54,13.395,0.145,Yes,32,32,2604.218551,2604.218551,0,2765
130.245.192.6,172.217.7.195,172.217.7.195,1251.715899,1154.922962,96.79293633,13.875,13.727,0.148,Yes,11,11,2604.218551,2604.218551,0,300
