Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
13.57.229.187,172.217.6.46,172.217.164.100,197.6923942565918,197.5538730621338,0.1385211944580078,3.093,24.173,-21.08,No,16,16,10.68649768129824,10.68649768129824,0.0,4
13.57.229.187,216.58.194.174,172.217.0.46,10201.772689819336,168.05124282836914,10033.721446990967,2.516,2.610,-0.09399999999999986,Yes,16,16,10.68649768129824,10.68649768129824,0.0,60
13.57.229.187,31.13.70.36,157.240.11.35,284.5942974090576,1454.9753665924072,-1170.3810691833496,10.341,10.954,-0.6130000000000013,Yes,20,20,305.4771129418731,17.819383396597647,287.65772954527546,20
13.57.229.187,220.181.57.216,104.193.88.123,44018.96142959595,55443.8054561615,-11424.844026565552,238.406,17.966,220.44,Yes,32,32,5959.94544874308,1318.3535005864298,4641.591948156651,7
13.57.229.187,198.35.26.96,198.35.26.96,100108.478307724,100113.55352401733,-5.075216293334961,3.255,3.324,-0.06899999999999995,Yes,32,32,41.58486272128258,41.58486272128258,0.0,60
13.57.229.187,151.101.65.140,151.101.189.140,100127.63810157776,100332.72528648376,-205.08718490600586,2.147,2.724,-0.5770000000000004,Yes,32,32,40.52738651831432,0.0,40.52738651831432,7
13.57.229.187,98.137.246.7,98.138.219.231,882.3873996734619,1119.1892623901367,-236.8018627166748,45.683,28.678,17.005,Yes,19,19,8.718210399968395,8.718210399968395,0.0,7
13.57.229.187,111.161.64.48,23.215.102.163,67322.36051559448,131.49595260620117,67190.86456298828,277.383,2.369,275.01399999999995,Yes,32,14,5971.075770746047,2683.5741136952497,3287.5016570507973,20
13.57.229.187,140.205.94.189,66.102.255.57,47985.4953289032,58966.30859375,-10980.813264846802,273.146,9.297,263.849,Yes,32,32,6293.640161560898,2402.1462226866506,3891.4939388742478,60
13.57.229.187,176.32.98.166,54.239.132.93,16753.254890441895,95150.96926689148,-78397.71437644958,61.273,3.341,57.932,Yes,32,32,2396.50441953451,709.3337726924899,1687.17064684202,39
